,PRBodySize,CommitSize,No_of_Files_Changed,socialDistance,No_of_Comments,timeSpentOnPR,repositoryAge,No_of_collaborators,No_of_Stars,No_of_Watchers,No_of_OpenIssues,No_of_followers_Submitter,submitterStatus,pullrequestDecision
17025,224,4,1,0,1,0,1829,30,9479,9479,789,30,1,1
17026,0,26,4,0,0,0,900,30,1266,1266,13,30,1,1
17027,0,535,1,0,0,0,64,7,44,44,6,30,0,1
17028,232,15,1,0,3,0,189,17,39,39,24,11,0,1
17029,0,16,1,0,0,0,1038,30,1304,1304,141,30,1,1
17030,487,24,2,0,1,0,1829,30,9479,9479,788,30,1,1
17031,12,1,1,0,1,137,804,9,36,36,19,19,1,1
17032,250,47,3,0,1,5,1558,30,615,615,53,30,1,1
17033,0,8,1,0,1,0,37,11,1,1,4,30,1,1
17034,0,181,16,0,0,7,254,10,5,5,8,30,1,1
17035,10,31,3,0,2,1,249,30,1846,1846,19,30,1,1
17036,224,16,2,0,0,0,1829,30,9479,9479,787,30,1,1
17037,485,276,3,0,31,23,407,7,86,86,10,10,1,1
17038,25,40,20,0,4,0,490,13,4,4,7,7,1,1
17039,504,73,2,0,6,22,717,30,225,225,248,27,0,1
17040,0,19,2,0,4,1,964,30,8,8,2,15,1,1
17041,93,151,5,0,1,15,1548,30,615,615,51,30,1,1
17042,8,78,2,0,0,0,642,5,6,6,4,30,1,1
17043,0,6,1,0,0,0,245,25,1214,1214,8,15,1,1
17044,193,93,10,0,4,1,393,26,4,4,29,1,1,1
17045,0,33,5,0,1,0,559,30,232,232,13,18,1,1
17046,0,4,1,0,0,0,519,18,59,59,24,10,0,1
17047,4611,7,1,0,1,0,1517,2,2140,2140,3,19,0,0
17048,441,105,14,0,5,4,621,30,216,216,5,7,1,1
17049,519,128,10,0,0,0,890,30,660,660,214,17,1,1
17050,425,2,1,0,1,0,890,30,660,660,213,17,1,1
17051,11,9,1,0,2,1,1670,30,1977,1977,211,30,1,1
17052,0,9,1,0,1,0,660,18,20,20,2,30,1,1
17053,0,313,6,0,0,0,722,2,9,9,102,25,1,1
17054,0,26,1,0,0,0,1206,3,558,558,4,-1,0,1
17055,39,2,1,0,0,0,1529,30,7906,7906,1037,20,0,1
17056,222,7,2,0,1,6,504,30,176,176,18,5,1,0
17057,0,4,2,0,0,0,249,30,15,15,2,7,1,1
17058,321,26,2,0,1,0,223,30,259,259,24,13,1,1
17059,39,3,1,0,1,1,558,-1,15,15,7,30,0,1
17060,0,23,4,0,0,0,1686,30,522,522,159,30,0,1
17061,0,2,1,0,0,0,1023,30,28,28,7,24,1,1
17062,11,1474,4,-1,0,0,700,9,15,15,70,-1,0,1
17063,0,35,6,0,0,1,760,30,151,151,13,30,1,1
17064,495,86,17,0,3,1,2167,30,1011,1011,49,30,1,1
17065,307,2,1,0,1,0,1095,30,486,486,25,12,0,1
17066,0,2,1,0,0,0,762,8,10,10,8,30,1,1
17067,490,554,11,0,7,23,1215,30,63,63,30,21,1,1
17068,65,6,1,-1,1,0,1039,30,5690,5690,206,17,0,1
17069,105,33,5,0,2,2,266,15,23,23,5,28,1,1
